,Name,Count,Format,ID
0,Chemister's Insight,tcg_redir?f=ST&c=3,ST,333734
1,Disdainful Stroke,2,ST,333734
2,Dragonskull Summit,4,ST,333734
3,Drowned Catacomb,4,ST,333734
4,Essence Scatter,1,ST,333734
5,Fiery Cannonade,1,ST,333734
6,Ionize,3,ST,333734
7,Island,2,ST,333734
8,"Karn, Scion of Urza",2,ST,333734
9,Lava Coil,2,ST,333734
10,Legion Warboss,2,ST,333734
11,Lightning Strike,3,ST,333734
12,Moment of Craving,1,ST,333734
13,Mountain,4,ST,333734
14,Negate,1,ST,333734
15,"Nicol Bolas, the Ravager",3,ST,333734
16,"Niv-Mizzet, Parun",3,ST,333734
17,Opt,2,ST,333734
18,"Ral, Izzet Viceroy",1,ST,333734
19,Ritual of Soot,2,ST,333734
20,"Sarkhan, Fireblood",2,ST,333734
21,Search for Azcanta,2,ST,333734
22,Shock,2,ST,333734
23,Steam Vents,4,ST,333734
24,Sulfur Falls,4,ST,333734
25,Syncopate,2,ST,333734
26,The Eldest Reborn,2,ST,333734
27,Thief of Sanity,2,ST,333734
28,Thought Erasure,3,ST,333734
29,Verix Bladewing,1,ST,333734
30,Vraska's Contempt,2,ST,333734
31,Watery Grave,3,ST,333734
